id,region,city,lon,lat
0,NORTHEAST,Albany,-73.7562317,42.6525793
1,NORTHEAST,Baltimore,-76.6121893,39.2903848
2,NORTHEAST,Boston,-71.250467,42.3140089
3,NORTHEAST,Buffalo,-78.9344822,42.8962176
4,NORTHEAST,New York,-74.2598712,40.6976701
5,NORTHEAST,Philadelphia,-75.258117,40.0024137
6,NORTHEAST,Pittsburgh,-80.8601033,40.2505434
7,NORTHEAST,"Portland, ME",-70.3515999,43.6671733
8,NORTHEAST,Washington DC,-77.1546617,38.89378
9,SOUTHEAST,Atlanta,-84.5606902,33.7679192
10,SOUTHEAST,Charleston,-80.1045624,32.7958375
11,SOUTHEAST,Charlotte,-80.979913,35.2030728
12,SOUTHEAST,Chattanooga,-85.5188784,35.0979732
13,SOUTHEAST,Jacksonville,-82.243564,30.3437949
14,SOUTHEAST,Knoxville,-84.2052695,35.9581363
15,SOUTHEAST,Miami,-80.350318,25.7699739
16,SOUTHEAST,Mobile,-88.229021,30.702136
17,SOUTHEAST,Norfolk,-76.3798049,36.9307392
18,SOUTHEAST,Richmond,-77.6333459,37.5245782
19,SOUTHEAST,Tampa,-82.734471,27.9941986
20,NORTH-CENTRAL,Chicago,-88.0121478,41.8333925
21,NORTH-CENTRAL,Cincinatti,-84.6804857,39.1362562
22,NORTH-CENTRAL,Cleveland,-81.8459438,41.497447
23,NORTH-CENTRAL,Columbus,-92.8292717,39.4171804
24,NORTH-CENTRAL,Detroit,-83.3793885,42.3523699
25,NORTH-CENTRAL,Indianapolis,-86.41293,39.7794476
26,NORTH-CENTRAL,Milwaukee,-88.1075151,43.0580569
27,NORTH-CENTRAL,St. Louis,-90.3835477,38.6532851
28,SOUTH-CENTRAL,Birmingham,-89.6445373,37.8897651
29,SOUTH-CENTRAL,Dallas,-97.011731,32.8203525
30,SOUTH-CENTRAL,Fort Worth,-97.011731,32.8203525
31,SOUTH-CENTRAL,Houston,-95.9617495,29.8159954
32,SOUTH-CENTRAL,Little Rock,-92.4780137,34.7242069
33,SOUTH-CENTRAL,Louisville,-85.9569564,38.1884721
34,SOUTH-CENTRAL,Memphis,-90.2509744,35.1288636
35,SOUTH-CENTRAL,Nashville,-87.0654323,36.186314
36,SOUTH-CENTRAL,New Orleans,-90.0226501,30.0332195
37,SOUTH-CENTRAL,San Antonio,-98.7946002,29.4817349
38,SOUTH-CENTRAL,Shreveport,-93.9538135,32.4612479
39,PLAINS,Denver,-105.1352965,39.7640021
40,PLAINS,Des Moines,-93.7466013,41.5668418
41,PLAINS,Fargo,-96.9685969,46.8541125
42,PLAINS,Kansas City,-94.8559106,39.0921167
43,PLAINS,Minneapolis,-93.3315183,44.9706756
44,PLAINS,Oklahoma City,-97.7593904,35.4828833
45,PLAINS,Omaha,-96.3614327,41.2915193
46,PLAINS,Pueblo,-104.6609088,38.2673594
47,PLAINS,St. Paul,-93.1760935,44.9398076
48,NORTHWEST,Billings,-108.7037678,45.7818339
49,NORTHWEST,Butte,-112.917892,45.9054805
50,NORTHWEST,Casper,-106.464965,42.8217692
51,NORTHWEST,Pocatello,-112.6360923,42.8685126
52,NORTHWEST,"Portland, OR",-122.7945068,45.5435634
53,NORTHWEST,Rapid City,-103.3226649,44.0696281
54,NORTHWEST,Salt Lake City,-112.0605705,40.7767833
55,NORTHWEST,Seattle,-122.4821475,47.6129432
56,NORTHWEST,Spokane,-117.552233,47.6727552
57,SOUTHWEST,El Paso,-103.8372047,35.1665573
58,SOUTHWEST,Las Vegas,-115.315086,36.1251958
59,SOUTHWEST,LA,-118.6919205,34.0201613
60,SOUTHWEST,Oakland,-122.3754124,37.7583925
61,SOUTHWEST,Phoenix,-112.4052392,33.6050991
62,SOUTHWEST,Reno,-119.9909255,39.557847
63,SOUTHWEST,Sacramento,-121.5829968,38.561457
64,SOUTHWEST,San Diego,-117.3891727,32.8248175
65,SOUTHWEST,San Francisco,-122.5076404,37.757815
66,SOUTHWEST,Tucumcari,-103.8372047,35.1665573
